,Time Summary,Avg Altitude (ft),Avg Speed,Distance,Date,Letter
0,0 1h05m29s,15416,49.7,54.2,2/4/2024,A
1,0 1h07m27s,938,50.8,57.1,3/4/2024,A
2,01h05m55s,"1,527",49,53.8,3/4/2024,B
3,01h16m51s,1,42,53.8,4/4/2024,A
4,01h15m23s,"1,581",46.9,58.9,9/4/2024,A
5,01h07m18s,940,48,53.8,9/4/2024,B
6,01h06m52s,"1,601",49,54.6,11/4/2024,A
7,01h08m42s,1614,47,53.9,11/4/2024,B
8,01h06m32s,937,50.9,56.4,12/4/2024,A
9,01h06m25s,916,51.2,57.3,12/4/2024,B
10,01h14m11 s,952,48.6,60.1,2024-16-04,A
11,01h07m00s,950,48.1,54.2,2024-16-04,B
12,01 h06m48s,882,48.9,54.5,2024-17-04,A
13,01h07m03s,"1,495",51.2,57.2,2024-17-04,B
14,01h12m25s,952,47.7,57.6,2024-18-04,A
15,01 h30m27s,947,35.9,54.1,2024-18-04,B
16,01h09m39s,925,46.7,54.3,2024-23-04,A
17,01h00m38s,1617,63.7,64.4,9/5/2024,A
18,01 h16m36s,933,42.5,54.3,9/5/2024,B
