,Time Summary,Elevation Gain (ft),Avg Speed,Distance,Date,Letter
0,1:05:37,"2,966",49.3,54.01,2/4/2024,A
1,1:07:12,"3,039",50.5,56.59,3/4/2024,A
2,1:05:42,"3,077",49.2,53.89,3/4/2024,B
3,1:16:40,"2,981",42.1,53.92,4/4/2024,A
4,1:15:09,"3,229",47,58.97,9/4/2024,A
5,1:07:06,"2,948",48.2,53.92,9/4/2024,B
6,1:06:41,"2,680",50,55.61,11/4/2024,A
7,1:08:29,"3,157",47.2,53.91,11/4/2024,B
8,1:06:16,"2,092",50.8,56.18,12/4/2024,A
9,1:06:46,"2,976",50.8,56.55,12/4/2024,B
10,1:13:58,"3,378",48.7,60.03,2024-16-04,A
11,1:07:23,"2,999",47.9,53.94,2024-16-04,B
12,1:06:35,"2,117",48.8,54.2,2024-17-04,A
13,1:06:46,3101,51.4,57.27,2024-17-04,B
14,1:12:11,"2,996",47.8,57.59,2024-18-04,A
15,1:30:07,"3,047",36,54.16,2024-18-04,B
16,1:09:25,"3,156",46.9,54.3,2024-23-04,A
17,1:00:26,"2,884",62.5,62.96,9/5/2024,A
18,1:16:28,"3,030",42.3,53.95,9/5/2024,B
