Date, Time, Elapsed time (sec), Distance (mi), Speed (mph), Latitude, Longitude, Accuracy (ft), Altitude (ft),AVG Speed =,48.45855869
18/04/24, 9:39 PM GMT-4,29,0.064311431,5.440124908,44.13578322,-72.65975435,36.48671069,790.4289559,Distance =,57.60348695
18/04/24, 9:39 PM GMT-4,30,0.067234941,5.440124908,44.1357436,-72.65973349,28.44179487,790.4289559,,
18/04/24, 9:39 PM GMT-4,31,0.070984105,9.496174066,44.13569076,-72.65971586,27.95030215,789.2393045,,
18/04/24, 9:39 PM GMT-4,32,0.074830223,11.55534602,44.13563626,-72.65969968,27.67629599,789.0801897,,
18/04/24, 9:39 PM GMT-4,33,0.078676339,12.70545754,44.13558301,-72.65967676,27.447702,788.9831498,,
18/04/24, 9:39 PM GMT-4,34,0.082471341,12.70545754,44.13553144,-72.65965016,27.25817487,789.0460998,,
18/04/24, 9:39 PM GMT-4,35,0.085995562,12.70545754,44.13548214,-72.65963162,27.00883659,789.0896995,,
18/04/24, 9:39 PM GMT-4,36,0.089145849,9.970041661,44.13543823,-72.65961422,25.71614165,789.1010647,,
18/04/24, 9:39 PM GMT-4,37,0.092705987,9.970041661,44.13539287,-72.65957999,25.07951709,789.8564323,,
18/04/24, 9:39 PM GMT-4,38,0.094743105,9.970041661,44.13537218,-72.65955065,21.37929661,789.8564323,,
18/04/24, 9:39 PM GMT-4,39,0.097005696,9.970041661,44.13534968,-72.65951743,15.52817127,789.8564323,,
18/04/24, 9:39 PM GMT-4,41,0.100544256,6.311998572,44.13529995,-72.65950008,15.55441765,793.6175019,,
18/04/24, 9:39 PM GMT-4,42,0.104322693,10.27555493,44.13524657,-72.65948314,15.54899222,793.964498,,
18/04/24, 9:39 PM GMT-4,43,0.109107993,14.64967188,44.13518121,-72.65945087,15.43206229,794.9175962,,
18/04/24, 9:39 PM GMT-4,44,0.114759254,18.56982288,44.13510011,-72.65943506,15.51798685,795.6440647,,
18/04/24, 9:39 PM GMT-4,45,0.120874187,21.54999966,44.13501162,-72.65944135,15.58685916,793.8332832,,
18/04/24, 9:39 PM GMT-4,46,0.127794846,23.56904195,44.13491195,-72.65945668,15.68281325,797.216867,,
18/04/24, 9:39 PM GMT-4,47,0.135355857,25.44284004,44.13480286,-72.65947092,15.74557961,799.4456939,,
18/04/24, 9:39 PM GMT-4,48,0.144110682,28.37458218,44.13467626,-72.65948218,15.86130023,799.1292816,,
18/04/24, 9:39 PM GMT-4,49,0.153552256,30.81440254,44.13454018,-72.65950179,15.88052234,799.7173872,,
18/04/24, 9:39 PM GMT-4,50,0.163880088,33.22234913,44.13439092,-72.65951696,15.94478428,801.5725703,,
18/04/24, 9:39 PM GMT-4,51,0.174142994,34.73828469,44.13424293,-72.65953733,16.02037736,801.2754858,,
18/04/24, 9:39 PM GMT-4,52,0.183970742,35.3728011,44.13410055,-72.65953408,16.03744995,801.5320173,,
18/04/24, 9:39 PM GMT-4,53,0.193999349,35.61600042,44.13395531,-72.65952751,16.24095367,802.3216472,,
18/04/24, 9:39 PM GMT-4,54,0.203946438,35.7388086,44.1338113,-72.65953594,16.37215272,804.175111,,
18/04/24, 9:39 PM GMT-4,55,0.213442335,34.80944547,44.13367373,-72.65953222,16.42913539,805.4677744,,
18/04/24, 9:39 PM GMT-4,56,0.222405598,33.61897388,44.1335439,-72.65952696,16.405924,806.8963044,,
18/04/24, 9:39 PM GMT-4,57,0.231832171,32.87433395,44.13340731,-72.65952627,16.32673273,807.1797139,,
18/04/24, 9:39 PM GMT-4,58,0.24131846,32.94184464,44.13326998,-72.65951801,16.34352998,808.9532904,,
18/04/24, 9:39 PM GMT-4,59,0.250568644,33.00960065,44.13313595,-72.65951725,16.30494184,809.2358215,,
18/04/24, 9:39 PM GMT-4,60,0.26006568,33.12311828,44.13299995,-72.65948791,16.32022941,808.0678646,,
18/04/24, 9:39 PM GMT-4,61,0.269816568,33.79896114,44.13286479,-72.65943055,16.42294652,809.3851856,,
18/04/24, 9:39 PM GMT-4,62,0.279198698,34.12185448,44.13273314,-72.6593833,16.37930372,810.8448912,,
18/04/24, 9:39 PM GMT-4,63,0.288879365,34.19975011,44.13260199,-72.65931397,16.3210085,812.1989285,,
18/04/24, 9:39 PM GMT-4,64,0.298576255,34.73006505,44.13247159,-72.65924107,16.17495365,808.8104559,,
18/04/24, 9:39 PM GMT-4,65,0.309285483,36.37145836,44.1323246,-72.65917174,16.14787186,812.5356016,,
18/04/24, 9:40 PM GMT-4,66,0.319268423,36.26672997,44.13219149,-72.65909286,16.02715602,812.968274,,
18/04/24, 9:40 PM GMT-4,67,0.329657082,36.36191821,44.13205104,-72.65901739,15.91573914,813.4834995,,
18/04/24, 9:40 PM GMT-4,68,0.339966361,36.19428281,44.13191132,-72.65894373,15.87631716,813.2430301,,
18/04/24, 9:40 PM GMT-4,69,0.350869224,37.16783957,44.13176746,-72.65885278,15.84619256,814.4594035,,
18/04/24, 9:40 PM GMT-4,70,0.361029762,37.04893747,44.13163096,-72.65877588,15.82765098,815.429068,,
18/04/24, 9:40 PM GMT-4,71,0.371382619,36.91865631,44.13148619,-72.65872112,15.72723983,817.4308059,,
18/04/24, 9:40 PM GMT-4,72,0.381889452,37.2430899,44.1313436,-72.65864679,15.75010862,821.165999,,
18/04/24, 9:40 PM GMT-4,73,0.391998724,36.48189549,44.13120122,-72.65859881,15.81859452,826.5572615,,
18/04/24, 9:40 PM GMT-4,74,0.401622444,35.86120932,44.13106843,-72.65853948,15.88498408,824.7354567,,
