Trip Name,Time Summary,Avg Altitude,Avg Speed,Distance
040224A.PNG,0 1h05m29s,15416 ft,49.7 mph,54.2 mile
040324A.PNG,0 1h07m27s,938 ft,50.8 mph,57.1 mile
040324B.PNG,01h05m55s,"1,527 ft",49.0 mph,53.8 mile
040424A.PNG,01h16m51s,1 ft,42.0 mph,53.8 mile
040924A.PNG,01h15m23s,"1,581 ft",46.9 mph,58.9 mile
040924B.PNG,01h07m18s,940 ft,48.0 mph,53.8 mile
041124A.PNG,01h06m52s,"1,601 ft",49.0 mph,54.6 mile
041124B.PNG,01h08m42s,1614 ft,47.0 mph,53.9 mile
041224A.PNG,01h06m32s,937 ft,50.9 mph,56.4 mile
041224B.PNG,01h06m25s,916 ft,51.2 mph,57.3 mile
041624A.PNG,01h14m11 s,952 ft,48.6 mph,60.1 mile
041624B.PNG,01h07m00s,950 ft,48.1 mph,54.2 mile
041724A.PNG,01 h06m48s,882 ft,48.9 mph,54.5 mile
041724B.PNG,01h07m03s,"1,495 ft",51.2 mph,57.2 mile
041824A-too_long.PNG,01h12m25s,952 ft,74.2 mph,57.6 mile
041824B-too_long.PNG,01 h30m27s,947 ft,35.9 mph,54.1 mile
042324A-too_long.PNG,01h09m39s,925 ft,46.7 mph,54.3 mile
050924A.PNG,01h00m38s,1617 ft,63.7 mph,64.4 mile
050924B-too_long.PNG,01 h16m36s,933 ft,42.5 mph,54.3 mile
