Date, Time, Elapsed time (sec), Distance (mi), Speed (mph), Latitude, Longitude, Accuracy (ft), Altitude (ft),AVG_Speed =,50.79323461
9/5/2024, 8:25 AM GMT-4,31,0.076440299,9.537016261,44.23432015,-73.09889795,28.30798948,562.4011671,Distance =,54.05894121
9/5/2024, 8:25 AM GMT-4,32,0.079593039,9.537016261,44.23436543,-73.0988895,23.60946,562.4011671,,
9/5/2024, 8:25 AM GMT-4,33,0.083299864,9.537016261,44.23441901,-73.09888418,16.45823685,562.4011671,,
9/5/2024, 8:25 AM GMT-4,34,0.087101014,9.537016261,44.23447367,-73.09887465,13.04539524,562.4011671,,
9/5/2024, 8:25 AM GMT-4,35,0.089786131,10.95509268,44.23451246,-73.09887045,15.56224604,562.4011671,,
9/5/2024, 8:25 AM GMT-4,36,0.09305741,10.87542534,44.2345588,-73.09885655,15.58513516,558.7218932,,
9/5/2024, 8:25 AM GMT-4,37,0.096268715,11.0230247,44.23460511,-73.0988502,15.57843472,558.4686311,,
9/5/2024, 8:25 AM GMT-4,38,0.099154651,10.56775849,44.23464665,-73.09884348,15.57817816,557.8569652,,
9/5/2024, 8:25 AM GMT-4,39,0.10239714,10.90059091,44.23469325,-73.09883506,15.57963151,558.451761,,
9/5/2024, 8:25 AM GMT-4,40,0.105637367,10.85418292,44.23474018,-73.09883346,15.60008951,559.095201,,
9/5/2024, 8:25 AM GMT-4,41,0.108694915,10.88393084,44.23478413,-73.09882566,15.63819112,560.1931978,,
9/5/2024, 8:25 AM GMT-4,42,0.111461644,10.06336858,44.23482393,-73.0988189,15.65444707,560.4312835,,
9/5/2024, 8:25 AM GMT-4,43,0.114358469,9.924207523,44.2348659,-73.09881981,15.65549367,560.6816154,,
9/5/2024, 8:25 AM GMT-4,44,0.117380527,9.022806733,44.23490921,-73.09881079,15.64581457,561.2560896,,
9/5/2024, 8:25 AM GMT-4,45,0.120330571,8.77135097,44.23495194,-73.09881269,15.64792341,561.0827886,,
9/5/2024, 8:25 AM GMT-4,46,0.12374722,8.791157142,44.23500111,-73.09880469,15.63397968,559.9195146,,
9/5/2024, 8:25 AM GMT-4,47,0.126732694,9.21788288,44.23504416,-73.09879876,15.62769382,559.8436989,,
9/5/2024, 8:25 AM GMT-4,48,0.129636172,9.367881148,44.23508551,-73.09878795,15.60208416,559.3220308,,
9/5/2024, 8:25 AM GMT-4,49,0.132617651,9.503879577,44.23512795,-73.09877666,15.6159262,558.9851782,,
9/5/2024, 8:25 AM GMT-4,50,0.135932844,10.08836349,44.23517568,-73.09876903,15.61980441,558.6884143,,
9/5/2024, 8:25 AM GMT-4,51,0.139454559,11.00107935,44.23522649,-73.09876249,15.63262645,558.6055958,,
9/5/2024, 8:25 AM GMT-4,52,0.141746485,10.96226167,44.23525954,-73.09875791,15.4400659,558.7460528,,
9/5/2024, 8:25 AM GMT-4,53,0.144851516,10.89240541,44.23530448,-73.09875486,15.44519252,558.2944844,,
9/5/2024, 8:26 AM GMT-4,54,0.147881761,10.78609517,44.23534824,-73.09874975,15.45263137,557.1291997,,
9/5/2024, 8:26 AM GMT-4,55,0.150667816,10.17876245,44.23538827,-73.09874251,15.46556761,556.186192,,
9/5/2024, 8:26 AM GMT-4,56,0.153730741,10.09082853,44.23543225,-73.09873414,15.42456087,554.92447,,
9/5/2024, 8:26 AM GMT-4,57,0.157302819,10.88299005,44.23548274,-73.09871823,15.41415587,553.531814,,
9/5/2024, 8:26 AM GMT-4,58,0.161045624,12.01635403,44.23553632,-73.0987065,15.43015839,552.3035464,,
9/5/2024, 8:26 AM GMT-4,59,0.164974598,12.79088162,44.23559254,-73.09869402,15.42549796,552.4177925,,
9/5/2024, 8:26 AM GMT-4,60,0.169247169,14.0077465,44.23565417,-73.09868583,15.42900384,552.5581156,,
9/5/2024, 8:26 AM GMT-4,61,0.173257142,14.06301413,44.23571221,-73.09868186,15.42987366,553.3285451,,
9/5/2024, 8:26 AM GMT-4,62,0.176781361,13.10705823,44.23576319,-73.09867771,15.42030876,552.4668921,,
9/5/2024, 8:26 AM GMT-4,63,0.180253057,12.39613418,44.23581317,-73.09866976,15.41730193,549.2958903,,
9/5/2024, 8:26 AM GMT-4,64,0.183679377,11.83801475,44.23586249,-73.09866179,15.4179981,551.6284185,,
9/5/2024, 8:26 AM GMT-4,65,0.187445959,12.22063967,44.23591651,-73.09865088,15.42672916,552.3139353,,
9/5/2024, 8:26 AM GMT-4,66,0.190941463,11.99665292,44.23596685,-73.09864316,15.44858107,551.1999453,,
9/5/2024, 8:26 AM GMT-4,67,0.194037423,11.10851278,44.23601125,-73.09863416,15.4508886,551.1426649,,
9/5/2024, 8:26 AM GMT-4,68,0.197599714,11.1445177,44.23606232,-73.09862374,15.45067897,551.075941,,
9/5/2024, 8:26 AM GMT-4,69,0.201530721,12.11860031,44.23611896,-73.09861521,15.43015369,550.7406004,,
9/5/2024, 8:26 AM GMT-4,70,0.205502841,13.02006297,44.2361761,-73.09860557,15.42733929,550.3684207,,
