,Time Summary,Elevation Gain (ft),Avg Speed,Distance,Date,Letter
0,1:06:46,"2,996",48.2,53.65,2024-26-02,B
1,1:03:20,"3,149",53.5,56.52,2024-27-02,A
2,1:08:02,"2,847",47.6,54.04,2024-29-02,A
3,1:05:43,"2,968",49.3,54.03,12/3/2024,B
4,1:06:38,"2,900",48.6,54,2024-14-03,A
5,1:09:41,"2,961",46.1,53.57,2024-14-03,B
6,1:10:14,"2,766",46.1,54.05,2024-15-03,A
7,1:07:24,"3,162",50.5,56.82,2024-15-03,B
8,1:04:38,"2,819",50.1,54.07,2024-19-03,A
9,1:08:44,"3,105",49.5,56.74,2024-20-03,B
10,1:06:07,"3,056",51.8,57.18,2024-21-03,A
11,1:02:21,"3,060",50.2,52.22,2024-21-03,B
12,1:30:16,"3,033",39.4,59.31,2024-22-03,A
13,1:06:52,"3,007",48.3,53.93,2024-25-03,B
14,1:05:12,"3,112",49.6,53.91,2024-26-03,B
15,1:09:22,"2,987",46.6,53.94,2024-27-03,B
16,1:04:04,"2,995",53,56.63,2024-28-03,A
17,1:09:38,"2,934",46.4,53.91,2024-28-03,B
18,1:05:37,"2,966",49.3,54.01,2/4/2024,A
19,1:07:12,"3,039",50.5,56.59,3/4/2024,A
20,1:05:42,"3,077",49.2,53.89,3/4/2024,B
21,1:16:40,"2,981",42.1,53.92,4/4/2024,A
22,1:15:09,"3,229",47,58.97,9/4/2024,A
23,1:07:06,"2,948",48.2,53.92,9/4/2024,B
24,1:06:41,"2,680",50,55.61,11/4/2024,A
25,1:08:29,"3,157",47.2,53.91,11/4/2024,B
26,1:06:16,"2,092",50.8,56.18,12/4/2024,A
27,1:06:46,"2,976",50.8,56.55,12/4/2024,B
28,1:13:58,"3,378",48.7,60.03,2024-16-04,A
29,1:07:23,"2,999",47.9,53.94,2024-16-04,B
30,1:06:35,"2,117",48.8,54.2,2024-17-04,A
31,1:06:46,3101,51.4,57.27,2024-17-04,B
32,1:12:11,"2,996",47.8,57.59,2024-18-04,A
33,1:30:07,"3,047",36,54.16,2024-18-04,B
34,1:09:25,"3,156",46.9,54.3,2024-23-04,A
35,1:00:26,"2,884",62.5,62.96,9/5/2024,A
36,1:16:28,"3,030",42.3,53.95,9/5/2024,B
